occurrence_year,homicide_type,occurrence_date,neighbourhood,day_of_week
2004,Other,2004-01-03,Yonge-St.Clair (97),Sat
2004,Shooting,2004-01-08,Woburn (137),Thu
2004,Shooting,2004-01-08,Malvern (132),Thu
2004,Shooting,2004-01-25,Dovercourt-Wallace Emerson-Junction (93),Sun
2004,Shooting,2004-01-25,Rouge (131),Sun
2004,Stabbing,2004-02-20,Downsview-Roding-CFB (26),Fri
2004,Shooting,2004-02-21,Downsview-Roding-CFB (26),Sat
2004,Other,2004-02-21,Mount Olive-Silverstone-Jamestown (2),Sat
2004,Shooting,2004-03-03,Malvern (132),Wed
2004,Shooting,2004-03-04,Clairlea-Birchmount (120),Thu
2004,Shooting,2004-03-03,Agincourt North (129),Wed
2004,Stabbing,2004-03-13,Woburn (137),Sat
2004,Other,2004-03-18,Englemount-Lawrence (32),Thu
2004,Other,2004-03-24,Woburn (137),Wed
2004,Other,2004-04-01,Moss Park (73),Thu
2004,Shooting,2004-04-13,Elms-Old Rexdale (5),Tue
2004,Shooting,2004-05-01,Mount Olive-Silverstone-Jamestown (2),Sat
2004,Shooting,2004-03-03,Old East York (58),Wed
2004,Shooting,2004-05-15,Black Creek (24),Sat
2004,Stabbing,2004-05-19,Alderwood (20),Wed
2004,Shooting,2004-05-21,Regent Park (72),Fri
2004,Other,2004-05-21,Thistletown-Beaumond Heights (3),Fri
2004,Other,2004-05-20,Yorkdale-Glen Park (31),Thu
2004,Other,2004-05-25,Roncesvalles (86),Tue
2004,Other,2004-06-01,Moss Park (73),Tue
2004,Shooting,2004-06-04,South Parkdale (85),Fri
2004,Stabbing,2004-06-18,Moss Park (73),Fri
2004,Shooting,2004-06-19,Pelmo Park-Humberlea (23),Sat
2004,Shooting,2004-07-01,Black Creek (24),Thu
2004,Stabbing,2004-07-05,Oakridge (121),Mon
2004,Stabbing,2004-07-07,Stonegate-Queensway (16),Wed
2009,Shooting,2009-08-04,Mimico (includes Humber Bay Shores) (17),Tue
2004,Stabbing,2004-07-08,Weston (113),Thu
2004,Stabbing,2004-07-09,Willowdale West (37),Fri
2004,Shooting,2004-07-21,Hillcrest Village (48),Wed
2004,Other,2004-07-23,Junction Area (90),Fri
2004,Shooting,2004-07-24,Waterfront Communities-The Island (77),Sat
2009,Shooting,2009-08-05,Kennedy Park (124),Wed
2004,Other,2004-08-05,Dovercourt-Wallace Emerson-Junction (93),Thu
2009,Shooting,2009-08-10,West Humber-Clairville (1),Mon
2004,Stabbing,2004-08-18,Weston (113),Wed
2009,Shooting,2009-08-16,Mount Olive-Silverstone-Jamestown (2),Sun
2004,Stabbing,2004-08-19,Briar Hill-Belgravia (108),Thu
2009,Shooting,2009-09-02,Blake-Jones (69),Wed
2004,Shooting,2004-08-30,Highland Creek (134),Mon
2009,Shooting,2009-09-05,Waterfront Communities-The Island (77),Sat
2004,Other,2004-08-30,Church-Yonge Corridor (75),Mon
2009,Shooting,2009-09-07,Bayview Woods-Steeles (49),Mon
2004,Stabbing,2004-08-31,Humbermede (22),Tue
2004,Shooting,2004-09-05,Kingsview Village-The Westway (6),Sun
2004,Shooting,2004-09-21,West Humber-Clairville (1),Tue
2004,Other,2004-09-22,York University Heights (27),Wed
2004,Other,2004-10-08,South Riverdale (70),Fri
2004,Shooting,2004-10-15,Rustic (28),Fri
2004,Other,2004-10-27,Mount Pleasant East (99),Wed
2004,Other,2004-11-12,Corso Italia-Davenport (92),Fri
2004,Stabbing,2004-12-01,Dovercourt-Wallace Emerson-Junction (93),Wed
2004,Stabbing,2004-12-01,Dovercourt-Wallace Emerson-Junction (93),Wed
2004,Other,2004-12-02,Centennial Scarborough (133),Thu
2004,Stabbing,2004-12-03,Old East York (58),Fri
2004,Other,2004-10-21,High Park-Swansea (87),Thu
2004,Stabbing,2004-12-11,St.Andrew-Windfields (40),Sat
2004,Stabbing,2004-12-11,Kensington-Chinatown (78),Sat
2004,Stabbing,2004-12-12,O'Connor-Parkview (54),Sun
2004,Shooting,2004-12-19,Church-Yonge Corridor (75),Sun
2004,Shooting,2004-12-19,Kennedy Park (124),Sun
2004,Shooting,2004-12-20,Flemingdon Park (44),Mon
2004,Stabbing,2004-12-31,Cliffcrest (123),Fri
2004,Other,2004-07-12,Malvern (132),Mon
2004,Shooting,2004-05-22,Maple Leaf (29),Sat
2005,Stabbing,2005-01-14,Milliken (130),Fri
2005,Stabbing,2005-01-18,Dovercourt-Wallace Emerson-Junction (93),Tue
2005,Shooting,2005-01-21,Niagara (82),Fri
2005,Shooting,2005-01-21,Niagara (82),Fri
2005,Shooting,2005-02-11,Dorset Park (126),Fri
2005,Other,2005-02-11,Weston-Pellam Park (91),Fri
2005,Shooting,2005-02-12,Mount Olive-Silverstone-Jamestown (2),Sat
2005,Shooting,2005-02-15,Dorset Park (126),Tue
2005,Shooting,2005-02-15,Cabbagetown-South St.James Town (71),Tue
2005,Other,2005-02-18,Mimico (includes Humber Bay Shores) (17),Fri
2005,Shooting,2005-02-28,Westminster-Branson (35),Mon
2005,Shooting,2005-03-05,Banbury-Don Mills (42),Sat
2005,Stabbing,2005-03-11,Stonegate-Queensway (16),Fri
2005,Shooting,2005-03-25,Church-Yonge Corridor (75),Fri
2005,Shooting,2005-04-13,Birchcliffe-Cliffside (122),Wed
2005,Shooting,2005-04-18,South Parkdale (85),Mon
2005,Other,2005-04-19,Waterfront Communities-The Island (77),Tue
2005,Shooting,2005-04-24,Humber Summit (21),Sun
2005,Stabbing,2005-05-04,Agincourt North (129),Wed
2005,Shooting,2005-05-05,Dufferin Grove (83),Thu
2005,Stabbing,2005-05-05,Glenfield-Jane Heights (25),Thu
2005,Shooting,2005-05-08,Blake-Jones (69),Sun
2005,Shooting,2005-05-14,Church-Yonge Corridor (75),Sat
2005,Shooting,2005-05-15,Woburn (137),Sun
2005,Shooting,2005-05-18,West Hill (136),Wed
2005,Stabbing,2005-05-27,Glenfield-Jane Heights (25),Fri
2005,Shooting,2005-06-12,East End-Danforth (62),Sun
2005,Shooting,2005-06-24,Black Creek (24),Fri
2005,Stabbing,2005-06-25,Englemount-Lawrence (32),Sat
2005,Shooting,2005-06-29,Dovercourt-Wallace Emerson-Junction (93),Wed
2005,Shooting,2005-07-06,Thistletown-Beaumond Heights (3),Wed
2005,Other,2005-07-17,Oakridge (121),Sun
2005,Shooting,2005-07-19,Rockcliffe-Smythe (111),Tue
2005,Other,2005-07-20,Parkwoods-Donalda (45),Wed
2005,Other,2005-07-15,West Hill (136),Fri
2005,Shooting,2005-07-30,Englemount-Lawrence (32),Sat
2005,Shooting,2005-07-30,L'Amoreaux (117),Sat
2009,Other,2009-09-12,Clairlea-Birchmount (120),Sat
2009,Shooting,2009-10-10,South Parkdale (85),Sat
2009,Other,2009-10-18,Church-Yonge Corridor (75),Sun
2009,Shooting,2009-10-18,York University Heights (27),Sun
2009,Shooting,2009-10-30,Wychwood (94),Fri
2009,Shooting,2009-11-02,Playter Estates-Danforth (67),Mon
2009,Shooting,2009-11-03,York University Heights (27),Tue
2009,Stabbing,2009-11-04,Annex (95),Wed
2009,Other,2009-11-07,South Riverdale (70),Sat
2009,Stabbing,2009-11-07,University (79),Sat
2010,Other,2010-01-02,South Riverdale (70),Sat
2009,Shooting,2009-11-11,Oakwood Village (107),Wed
2009,Shooting,2009-11-17,Kingsview Village-The Westway (6),Tue
2009,Shooting,2009-11-22,Bay Street Corridor (76),Sun
2009,Shooting,2009-11-22,Bendale (127),Sun
2009,Shooting,2009-12-03,Rustic (28),Thu
2009,Other,2009-12-05,Cabbagetown-South St.James Town (71),Sat
2009,Shooting,2009-12-06,Humber Summit (21),Sun
2009,Shooting,2009-12-07,Weston (113),Mon
2009,Shooting,2009-12-09,Downsview-Roding-CFB (26),Wed
2010,Shooting,2010-01-07,Malvern (132),Thu
2009,Stabbing,2009-12-13,Lambton Baby Point (114),Sun
2010,Other,2010-01-24,Kensington-Chinatown (78),Sun
2010,Stabbing,2010-01-27,Parkwoods-Donalda (45),Wed
2009,Other,2009-12-18,Kensington-Chinatown (78),Fri
2009,Shooting,2009-12-29,Junction Area (90),Tue
2010,Stabbing,2010-02-03,Moss Park (73),Wed
2011,Stabbing,2011-01-01,Waterfront Communities-The Island (77),Sat
2011,Shooting,2011-01-05,Wexford/Maryvale (119),Wed
2011,Other,2011-01-06,West Hill (136),Thu
2011,Other,2011-01-12,Annex (95),Wed
2011,Other,2011-01-13,Forest Hill North (102),Thu
2011,Other,2011-01-23,Church-Yonge Corridor (75),Sun
2010,Shooting,2010-02-07,Brookhaven-Amesbury (30),Sun
2011,Shooting,2011-02-01,Humbermede (22),Tue
2011,Stabbing,2011-02-05,York University Heights (27),Sat
2011,Shooting,2011-02-11,Beechborough-Greenbrook (112),Fri
2011,Shooting,2011-02-11,Woburn (137),Fri
2011,Shooting,2011-02-16,Weston (113),Wed
2011,Shooting,2011-02-26,Malvern (132),Sat
2011,Shooting,2011-03-02,Lambton Baby Point (114),Wed
2011,Other,2011-03-03,Dovercourt-Wallace Emerson-Junction (93),Thu
2011,Shooting,2011-03-20,Kingsview Village-The Westway (6),Sun
2011,Other,2011-03-21,South Parkdale (85),Mon
2011,Shooting,2011-03-28,Kennedy Park (124),Mon
2011,Shooting,2011-03-28,The Beaches (63),Mon
2011,Other,2011-04-15,York University Heights (27),Fri
2011,Other,2011-04-06,Danforth (66),Wed
2011,Shooting,2011-04-30,West Humber-Clairville (1),Sat
2011,Shooting,2011-05-26,Pleasant View (46),Thu
2010,Shooting,2010-02-08,Rustic (28),Mon
2011,Shooting,2011-05-29,West Humber-Clairville (1),Sun
2010,Other,2010-02-15,South Riverdale (70),Mon
2010,Other,2010-02-14,Eglinton East (138),Sun
2011,Shooting,2011-06-16,Glenfield-Jane Heights (25),Thu
2011,Stabbing,2011-07-01,Victoria Village (43),Fri
2011,Stabbing,2011-07-22,Scarborough Village (139),Fri
2011,Shooting,2011-07-29,Islington-City Centre West (14),Fri
2011,Other,2011-07-29,Mount Dennis (115),Fri
2011,Shooting,2011-07-31,Mount Dennis (115),Sun
2011,Stabbing,2011-08-10,Downsview-Roding-CFB (26),Wed
2011,Shooting,2011-08-20,Downsview-Roding-CFB (26),Sat
2011,Shooting,2011-08-23,Clanton Park (33),Tue
2011,Shooting,2011-08-27,Lambton Baby Point (114),Sat
2011,Other,2011-09-11,Woburn (137),Sun
2011,Shooting,2011-09-17,Clairlea-Birchmount (120),Sat
2011,Shooting,2011-10-02,Trinity-Bellwoods (81),Sun
2010,Shooting,2010-03-11,West Hill (136),Thu
2011,Shooting,2011-10-09,Victoria Village (43),Sun
2011,Shooting,2011-10-14,Taylor-Massey (61),Fri
2010,Other,2010-03-13,Wexford/Maryvale (119),Sat
2011,Shooting,2011-10-15,Black Creek (24),Sat
2011,Shooting,2011-10-21,Etobicoke West Mall (13),Fri
2011,Shooting,2011-10-28,Downsview-Roding-CFB (26),Fri
2010,Other,2010-04-04,High Park-Swansea (87),Sun
2011,Shooting,2011-11-29,South Riverdale (70),Tue
2011,Stabbing,2011-12-02,Newtonbrook East (50),Fri
2011,Stabbing,2011-12-03,Bedford Park-Nortown (39),Sat
2010,Other,2010-04-28,Moss Park (73),Wed
2011,Shooting,2011-12-30,Woburn (137),Fri
2011,Stabbing,2011-12-31,Kensington-Chinatown (78),Sat
2011,Other,2011-12-26,Regent Park (72),Mon
2011,Other,2011-12-02,Weston (113),Fri
2011,Other,2011-02-19,Malvern (132),Sat
2010,Shooting,2010-05-03,Oakwood Village (107),Mon
2010,Stabbing,2010-05-10,L'Amoreaux (117),Mon
2010,Shooting,2010-05-17,Keelesdale-Eglinton West (110),Mon
2010,Other,2010-05-31,Brookhaven-Amesbury (30),Mon
2012,Shooting,2012-01-01,Clairlea-Birchmount (120),Sun
2012,Stabbing,2012-01-01,Niagara (82),Sun
2012,Other,2012-01-01,Leaside-Bennington (56),Sun
2012,Shooting,2012-01-21,Clairlea-Birchmount (120),Sat
2012,Shooting,2012-01-24,Malvern (132),Tue
2013,Other,2013-01-19,Dovercourt-Wallace Emerson-Junction (93),Sat
2016,Other,2016-05-18,Church-Yonge Corridor (75),Wed
2013,Other,2013-02-02,Don Valley Village (47),Sat
2016,Other,2016-04-17,Weston (113),Sun
2013,Shooting,2013-02-11,Glenfield-Jane Heights (25),Mon
2016,Shooting,2016-06-03,Humbermede (22),Fri
